Evento / Atividade,Classificação da Pessoa,Nome dos Missionários,Outros Nomes,Casas / Sítios,Kerigmas,Local Específico,Cidade,País,Condição Técnica,Objetos,Ação / Verbo,Ano
Missa,Missionário,Pe. Gianpietro,Dom Odilo,Gavi,Querigma do Amor,Capela,São Paulo,Brasil,Foto Posada,Bíblia,Orando,2026
Votos,Irmão,Pe. Henrique,Dom Cícero,Guadalupe,Querigma do Pecado,Altar,Rio de Janeiro,Itália,Foto Espontânea,Terço,Pregando,2025
Crisma,Irmã,Ir. Teresinha,Dom Rogério,Oratório,Querigma da Salvação,Refeitório,Roma,Haiti,Vídeo,Cruz,Adorando,2024
Batismo,Acolhido,Ir. Maria,Luciney Martins,RDP,Querigma da Fé,Pátio,Belém,França,Alta Qualidade,Vela,Abraçando,2023
Lava-Pés,Cooperador,Pe. Renato,Chiara Carra,Belém,Querigma do Espírito,Praça da Sé,Milão,Espanha,Recorte,Cálice,Caminhando,2022
Dia dos Pobres,Seminarista,Pe. Cícero,Bea Franco,São José do Belém,Querigma da Comunhão,Catedral,Paris,Portugal,RAW,Hóstia,Cantando,2021
Escola de Missão,Voluntário,Ir. Clara,Josiane,Amor em Cacau,Querigma da Missão,Tenda,Port-au-Prince,Moçambique,Convertida,Violão,Sorrindo,2020
Missa 20 anos,Benfeitor,Ir. Francisco,Agnaldo,Casa de Acolhida,Evangelização,Santuário,Fortaleza,Argentina,Banner,Microfone,Comungando,2019
